route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color
1,"NJB","1","",3,"",
2,"NJB","10","",3,"",
3,"NJB","107","",3,"",
4,"NJB","108","",3,"",
5,"NJB","11","",3,"",
6,"NJB","111","",3,"",
7,"NJB","112","",3,"",
8,"NJB","113","",3,"",
9,"NJB","114","",3,"",
10,"NJB","115","",3,"",
11,"NJB","116","",3,"",
12,"NJB","117","",3,"",
13,"NJB","119","",3,"",
14,"NJB","120","",3,"",
15,"NJB","121","",3,"",
16,"NJB","122","",3,"",
17,"NJB","123","",3,"",
18,"NJB","124","",3,"",
19,"NJB","125","",3,"",
20,"NJB","126","",3,"",
21,"NJB","127","",3,"",
22,"NJB","128","",3,"",
23,"NJB","129","",3,"",
24,"NJB","13","",3,"",
25,"NJB","130","",3,"",
26,"NJB","131","",3,"",
27,"NJB","132","",3,"",
28,"NJB","133","",3,"",
29,"NJB","135","",3,"",
30,"NJB","136","",3,"",
31,"NJB","137","",3,"",
32,"NJB","138","",3,"",
33,"NJB","139","",3,"",
34,"NJB","144","",3,"",
35,"NJB","145","",3,"",
36,"NJB","148","",3,"",
37,"NJB","151","",3,"",
38,"NJB","153","",3,"",
39,"NJB","154","",3,"",
40,"NJB","155","",3,"",
41,"NJB","156","",3,"",
42,"NJB","157","",3,"",
43,"NJB","158","",3,"",
44,"NJB","159","",3,"",
45,"NJB","160","",3,"",
46,"NJB","161","",3,"",
47,"NJB","162","",3,"",
48,"NJB","163","",3,"",
49,"NJB","163S","",3,"",
50,"NJB","164","",3,"",
51,"NJB","165","",3,"",
52,"NJB","166","",3,"",
53,"NJB","167","",3,"",
54,"NJB","168","",3,"",
55,"NJB","171","",3,"",
56,"NJB","175","",3,"",
57,"NJB","177","",3,"",
58,"NJB","178","",3,"",
59,"NJB","181","",3,"",
60,"NJB","182","",3,"",
61,"NJB","186","",3,"",
62,"NJB","188","",3,"",
63,"NJB","190","",3,"",
64,"NJB","191","",3,"",
65,"NJB","192","",3,"",
66,"NJB","193","",3,"",
67,"NJB","194","",3,"",
68,"NJB","195","",3,"",
69,"NJB","196","",3,"",
70,"NJB","197","",3,"",
71,"NJB","198","",3,"",
72,"NJB","199","",3,"",
73,"NJB","2","",3,"",
74,"NJB","21","",3,"",
75,"NJB","22","",3,"",
76,"NJB","23","",3,"",
77,"NJB","25","",3,"",
78,"NJB","26","",3,"",
79,"NJB","27","",3,"",
80,"NJB","28","",3,"",
81,"NJB","29","",3,"",
82,"NJB","30","",3,"",
83,"NJB","308","",3,"",
84,"NJB","313","",3,"",
85,"NJB","315","",3,"",
86,"NJB","317","",3,"",
87,"NJB","319","",3,"",
88,"NJB","320","",3,"",
89,"NJB","321","",3,"",
90,"NJB","324","",3,"",
91,"NJB","329","",3,"",
92,"NJB","34","",3,"",
93,"NJB","34S","",3,"",
94,"NJB","361","",3,"",
95,"NJB","37","",3,"",
96,"NJB","375","",3,"",
97,"NJB","378","",3,"",
