midday
10203
3646
6498
7362
10838
14514
20558
10372
16057
66
15133
6959
17034
2176
18330
18371
13065
9591
19038
5579
24971
3580
10441
18072
4985
5219
13887
19752
1463
9990
394
7618
5009
7351
11536
8632
8966
5269
14818
23753
5255
24726
21570
24069
21341
21453
11498
6325
22959
12237
