hour, minutes
0,75
1,75
2,75
3,75
4,75
5,90
6,90
7,105
8,110
9,90
10,90
11,90
12,90
12.25,88
12.5,85
12.75,83
13,80
14,90
15,90
16,130
17,125
18,90
19,90
20,90
21,90
22,90
23,75
