am
137
137
142
214
214
219
434
434
439
620
620
625
888
888
893
979
979
984
1296
1296
1301
1344
1344
1349
1481
1481
1485
1486
1490
6609
6633
6752
6771
6860
6965
7931
8075
8726
8815
8902
8955
9100
9341
9698
10045
10433
10759
10788
10831
11247
11354
11447
11572
11714
12001
12610
12617
12825
12943
13357
13773
13954
14114
14137
14543
14561
14756
15083
15552
15583
16346
16549
16752
16752
17505
17508
17814
17957
18016
18017
18690
18980
18987
19229
19265
19374
20867
21044
21195
21757
21772
22403
22863
23418
23483
23725
23856
24466
24657
24945
